iter	Passed	Remaining
420	2436	3547
421	2443	3543
422	2448	3536
423	2453	3530
424	2459	3524
425	2464	3517
426	2471	3513
427	2477	3507
428	2481	3499
429	2487	3493
430	2491	3485
431	2495	3477
432	2499	3469
433	2504	3462
434	2510	3456
435	2516	3452
436	2523	3447
437	2530	3443
438	2537	3439
439	2543	3433
440	2549	3428
441	2556	3424
442	2563	3419
443	2569	3414
444	2575	3408
445	2579	3400
446	2584	3394
447	2590	3387
448	2595	3382
449	2601	3375
450	2606	3369
451	2611	3363
452	2617	3357
453	2623	3351
454	2629	3345
455	2632	3337
456	2638	3331
457	2644	3326
458	2650	3320
459	2656	3314
460	2661	3308
461	2667	3302
462	2673	3297
463	2680	3293
464	2687	3287
465	2693	3282
466	2698	3276
467	2704	3271
468	2710	3265
469	2716	3259
470	2721	3253
471	2727	3247
472	2733	3241
473	2739	3236
474	2745	3230
475	2750	3224
476	2756	3219
477	2762	3213
478	2768	3207
479	2774	3201
480	2780	3196
481	2786	3191
482	2791	3184
483	2797	3179
484	2803	3173
485	2809	3167
486	2814	3161
487	2820	3155
488	2825	3149
489	2831	3143
490	2836	3136
491	2842	3131
492	2848	3125
493	2853	3119
494	2859	3113
495	2864	3107
496	2870	3101
497	2876	3095
498	2881	3089
499	2887	3084
500	2894	3079
501	2899	3072
502	2905	3067
503	2909	3059
504	2915	3054
505	2921	3048
506	2927	3043
507	2932	3036
508	2939	3032
509	2946	3027
510	2953	3023
511	2958	3016
512	2965	3012
513	2973	3008
514	2980	3003
515	2986	2997
516	2990	2990
517	2996	2984
518	3001	2978
519	3007	2972
520	3011	2964
521	3014	2957
522	3021	2951
523	3026	2945
524	3030	2937
525	3035	2931
526	3041	2926
527	3047	2920
528	3054	2916
529	3062	2912
530	3068	2906
531	3074	2901
532	3080	2895
533	3084	2888
534	3091	2883
535	3099	2879
536	3106	2875
537	3114	2871
538	3120	2865
539	3124	2858
540	3130	2852
541	3137	2848
542	3143	2842
543	3149	2836
544	3156	2831
545	3162	2826
546	3167	2820
547	3173	2814
548	3180	2809
549	3187	2804
550	3193	2799
551	3201	2795
552	3209	2791
553	3214	2784
554	3220	2779
555	3229	2776
556	3236	2771
557	3244	2767
558	3253	2764
559	3260	2759
560	3268	2755
561	3274	2750
562	3280	2744
563	3286	2738
564	3293	2733
565	3298	2727
566	3304	2721
567	3309	2715
568	3315	2709
569	3321	2703
570	3327	2698
571	3331	2691
572	3337	2685
573	3341	2678
574	3345	2670
575	3351	2664
576	3357	2659
577	3362	2652
578	3368	2646
579	3374	2641
580	3379	2635
581	3385	2629
582	3391	2623
583	3396	2617
584	3401	2610
585	3407	2605
586	3412	2598
587	3418	2593
588	3423	2586
589	3428	2580
590	3435	2575
591	3440	2568
592	3447	2563
593	3455	2559
594	3463	2555
595	3467	2548
596	3473	2542
597	3478	2536
598	3484	2530
599	3490	2524
600	3496	2518
601	3501	2512
602	3506	2506
603	3511	2500
604	3517	2494
605	3522	2488
606	3528	2482
607	3534	2476
608	3539	2470
609	3545	2464
610	3551	2458
611	3557	2452
612	3562	2446
613	3569	2441
614	3575	2435
615	3579	2428
616	3584	2422
617	3588	2415
618	3594	2410
619	3600	2404
620	3606	2398
621	3611	2392
622	3615	2385
623	3619	2378
624	3625	2372
625	3632	2367
626	3638	2361
627	3643	2355
628	3649	2349
629	3654	2343
630	3660	2337
631	3666	2331
632	3672	2326
633	3678	2320
634	3684	2314
635	3690	2309
636	3695	2303
637	3701	2297
638	3707	2291
639	3713	2286
640	3719	2280
641	3726	2275
642	3733	2270
643	3741	2265
644	3748	2260
645	3754	2254
646	3759	2248
647	3766	2243
648	3772	2237
649	3778	2232
650	3782	2225
651	3788	2219
652	3795	2214
653	3801	2208
654	3806	2202
655	3812	2196
656	3818	2191
657	3823	2184
658	3829	2179
659	3834	2172
660	3840	2167
661	3845	2161
662	3851	2155
663	3857	2149
664	3863	2143
665	3869	2138
666	3876	2132
667	3882	2127
668	3886	2120
669	3891	2114
670	3899	2109
671	3906	2104
672	3914	2099
673	3922	2095
674	3930	2090
675	3938	2085
676	3946	2081
677	3953	2076
678	3962	2071
679	3968	2066
680	3974	2060
681	3978	2053
682	3983	2047
683	3990	2041
684	3996	2036
685	4003	2030
686	4009	2025
687	4013	2018
688	4018	2012
689	4026	2007
690	4032	2001
691	4037	1995
692	4042	1988
693	4046	1982
694	4052	1976
695	4059	1971
696	4065	1965
697	4069	1959
698	4074	1952
699	4078	1946
700	4083	1939
701	4089	1934
702	4096	1928
703	4102	1922
704	4108	1917
705	4116	1912
706	4124	1907
707	4131	1902
708	4137	1896
709	4142	1890
710	4148	1884
711	4153	1878
712	4158	1872
713	4164	1866
714	4170	1860
715	4175	1854
716	4183	1849
717	4190	1844
718	4197	1838
719	4202	1832
720	4207	1826
721	4215	1821
722	4221	1815
723	4227	1810
724	4232	1804
725	4238	1798
726	4246	1793
727	4251	1786
728	4257	1781
729	4263	1775
730	4268	1769
731	4274	1763
732	4280	1757
733	4286	1751
734	4291	1745
735	4297	1740
736	4303	1734
737	4309	1728
738	4314	1722
739	4320	1716
740	4326	1710
741	4331	1704
742	4337	1698
743	4343	1693
744	4349	1687
745	4354	1681
746	4361	1675
747	4368	1670
748	4373	1664
749	4380	1658
750	4385	1652
751	4391	1646
752	4397	1640
753	4403	1635
754	4409	1629
755	4415	1623
756	4421	1617
757	4426	1611
758	4431	1605
759	4439	1600
760	4444	1594
761	4450	1588
762	4455	1582
763	4461	1576
764	4467	1570
765	4471	1564
766	4476	1558
767	4483	1552
768	4490	1547
769	4497	1541
770	4503	1536
771	4509	1530
772	4515	1524
773	4522	1519
774	4529	1513
775	4537	1508
776	4543	1502
777	4547	1496
778	4553	1490
779	4562	1485
780	4570	1480
781	4577	1475
782	4582	1468
783	4587	1462
784	4593	1456
785	4598	1450
786	4604	1445
787	4610	1439
788	4616	1433
789	4622	1427
790	4626	1421
791	4631	1415
792	4638	1409
793	4643	1403
794	4649	1397
795	4654	1391
796	4660	1385
797	4666	1380
798	4672	1374
799	4678	1368
800	4684	1362
801	4690	1356
802	4696	1350
803	4702	1345
804	4708	1339
805	4713	1333
806	4719	1327
807	4725	1321
808	4729	1315
809	4735	1309
810	4741	1303
811	4747	1297
