iter	MultiClass
0	1.030676011
1	0.9729445525
2	0.9233992766
3	0.8804147013
4	0.8424866505
5	0.8090234598
6	0.7792835064
7	0.7526660643
8	0.7286005906
9	0.7071528756
10	0.687763033
11	0.6701848122
12	0.6541706868
13	0.6396737549
14	0.6264374923
15	0.6141988024
16	0.6028627328
17	0.592714204
18	0.5833440537
19	0.5747113784
20	0.5668843293
21	0.5595886425
22	0.5526975236
23	0.546604182
24	0.5408782697
25	0.535563179
26	0.5306110826
27	0.5262235946
28	0.5218437321
29	0.5180689348
30	0.5143981829
31	0.5109135067
32	0.5076232018
33	0.5044886619
34	0.501765773
35	0.4992722882
36	0.4969173392
37	0.4945148822
38	0.4924072365
39	0.4902848503
40	0.4884639437
41	0.4866622764
42	0.485008972
43	0.483502467
44	0.4820541585
45	0.4807325806
46	0.479544274
47	0.4783002277
48	0.4770950428
49	0.4760274366
50	0.4750148682
51	0.4738893845
52	0.4730420572
53	0.4722117996
54	0.4712518442
55	0.4704882382
56	0.4697070201
57	0.4689806803
58	0.4682459173
59	0.4675982258
60	0.4669155015
61	0.4661512574
62	0.4655009495
63	0.4649725864
64	0.464387622
65	0.4639119037
66	0.4632262122
67	0.4627211404
68	0.4622334255
69	0.4618263689
70	0.4613533945
71	0.4608710398
72	0.4604333216
73	0.4599510307
74	0.4596380968
75	0.4592050368
76	0.4588379584
77	0.4584657113
78	0.4581082047
79	0.4577272472
80	0.4572598564
81	0.4569369997
82	0.456588714
83	0.4562440336
84	0.4559611232
85	0.4556309919
86	0.4552947986
87	0.4549178931
88	0.4545953236
89	0.4543068297
90	0.4540377984
91	0.453811553
92	0.4535565604
93	0.4532619724
94	0.4530189126
95	0.4526931206
96	0.4524538576
97	0.4522100639
98	0.4518971938
99	0.451615783
100	0.4513887719
101	0.4511385332
102	0.4508716397
103	0.4506931257
104	0.4504406536
105	0.4500866248
106	0.4498427035
107	0.4496485556
108	0.449463437
109	0.4492037542
110	0.4489411041
111	0.4486483986
112	0.4484195369
113	0.4482107761
114	0.4480410043
115	0.4478396775
116	0.4476117411
117	0.4474259526
118	0.4471740229
119	0.4469857457
120	0.4467935121
121	0.4465920258
122	0.4464363884
123	0.4462289676
124	0.4460313738
125	0.4458154341
126	0.445596208
127	0.4454313498
128	0.445187939
129	0.4450544763
130	0.444921205
131	0.4446867598
132	0.4445212315
133	0.4443454614
134	0.4440770683
135	0.4439233133
136	0.4437569555
137	0.4436246095
138	0.4434826597
139	0.4432921491
140	0.4431516032
141	0.443002347
142	0.4428119002
143	0.4426659941
144	0.442493287
145	0.4423450199
146	0.442157636
147	0.4419951069
148	0.441811807
149	0.4416803224
150	0.4415273651
151	0.4413873936
152	0.4411828124
153	0.4410663236
154	0.440893106
155	0.4407218985
156	0.4405636448
157	0.4404328941
158	0.4403258814
159	0.440222155
160	0.4400617636
161	0.4398996174
162	0.4397400555
163	0.4395387607
164	0.4393564499
165	0.4392037478
166	0.4390778149
167	0.438936599
168	0.4388070607
169	0.4386449144
170	0.4385379975
171	0.4383792652
172	0.4382312533
173	0.4381183699
174	0.4379708686
175	0.4377768483
176	0.4376580623
177	0.4375577817
178	0.4374407187
179	0.4372950998
180	0.4371543943
181	0.4370298972
182	0.436893531
183	0.4367247164
184	0.4366230959
185	0.4364958229
186	0.4363724424
187	0.4362234096
188	0.4360964556
189	0.4359971004
190	0.4358892901
191	0.4357355989
192	0.4356083578
193	0.4354655147
194	0.4353477816
195	0.4352015565
196	0.4350661794
197	0.4348837729
198	0.4347232538
199	0.4345771882
200	0.4344228271
201	0.4343222913
202	0.4342171292
203	0.4340510266
204	0.4339309963
205	0.433797023
206	0.4336913823
207	0.4335721496
208	0.4334501092
209	0.433338885
210	0.4332144197
211	0.4330845943
212	0.4329304883
213	0.4328286125
214	0.4326944159
215	0.4325570288
216	0.4323959673
217	0.4322819672
218	0.4321585549
219	0.432017339
220	0.4318819619
221	0.4318089291
222	0.4317002892
223	0.4316098357
224	0.4314996324
225	0.4313621495
226	0.4312370143
227	0.4310817278
228	0.4309548696
229	0.4308351264
230	0.4306771918
231	0.4305571615
232	0.430433111
233	0.4303327348
234	0.4301870839
235	0.4300347648
236	0.4299352181
237	0.4298317151
238	0.4297529073
239	0.4296637939
240	0.4295576107
241	0.4294630095
242	0.4293641009
243	0.4292673301
244	0.4291870546
245	0.429057963
246	0.4289789957
